能力ID,类型,触发器,冷却,参数名1,参数1,参数名2,参数2,参数名3,参数3,持续时间,名字,描述,所属流派,稀有度,可选次数,武器通用能力,是否基础能力,是否进图鉴,是否正常投放
9059,passive,,,batShootDir4,1,batFlyShort,1,,,,四方来蝠,向4个方向发射蝙蝠，但飞行距离变短,1201,2,1,,FALSE,,
9060,spawn,levelStart,0,spawnProp,6008,,1,,,,蝙蝠包,开局掉落1个蝙蝠包,1201,,,,,,
9061,passive,,,blackSight,1,,,,,,蝙蝠之眼,洞悉黑暗,1201,2,1,,FALSE,,
9062,spawnBat,levelStartFront,0,shoot8,,,,,,,暗影登场,开局前10回合，每回合发射8向蝙蝠,1201,,,,,,
9063,spawn,levelStart,0,spawnUnit,830,,1,,,,蝙蝠之家,开局召唤1个蝙蝠洞,1201,,,,,,
9064,passive,,,fatBat,1,batOverLapNum,1,,,,胖蝙蝠,蝙蝠缓慢飞行，伤害+1，贯穿+1,1201,3,,,FALSE,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9100,spawnLightning,move,4,,2,,,,,,闪电召唤,移动4步后，随机落下2道闪电,1202,,,,,,
9101,spawnLightning,move,20,,12,,,,,,疾走闪电,移动20步后，随机落下12道闪电,1202,,,,,,
9102,spawnLightning,unitDead,0,,7,,,,,,死亡闪电,单位死亡后，随机落下7道闪电,1202,2,,,,,
9103,spawnLightning,turn,2,,1,,,,,,永不停歇,每隔1回合落下1道闪电,1202,3,,,,,
9104,passive,,,lightningNumRange,0.5,,,,,,波动闪电,每次落下闪电数量+0%~50%,1202,,,,FALSE,,
9106,spawnLightning,lightSpawn,99,,30,,,,,,罐装闪电,召唤100道闪电后，立刻再召唤30道,1202,,,,FALSE,,
9107,passive,,,lightningNumAdd,1,lightningAtkDis,1,lightningAutoAimNum,5,,扩散闪电,闪电数量+1，且覆盖的区域扩大,1202,2,,,FALSE,,
9108,passive,,,lightningNumAdd,1,lightningAimOne,1,,,,集中闪电,闪电数量+1，且都劈向1个地方,1202,2,,,FALSE,,
9109,passive,,,lightningAutoAim,1,,,,,,自瞄闪电,每6道里有1道闪电必中,1202,3,1,,FALSE,,
9110,spawnLightning,move,100,,100,,,,,,电动力学,移动100步后，随机落下100道闪电,1202,3,,,,,
9111,passive,,,lightningKillRate,0.01,,,,,,死亡处决,闪电有1%概率造成999伤害,1202,2,,,FALSE,,
9113,spawnLightning,lightningOnHit,0,,1,,,,,,连锁闪电,闪电击中单位后，再落下1道闪电,1202,2,,,FALSE,,
9114,spawnLightning,levelStartFront,0,,5,,,,,,闪亮登场,开局前10回合，每回合落下5道闪电,1202,,,,,,
9115,passive,,,lightningDamgeAdd,1,,,,,,闪电之怒,闪电伤害+1,1202,3,,,FALSE,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9150,spawn,atk,30,spawnUnit,0,,1,,,,魔王兵,攻击30次召唤小兵,1203,,,,,,
9151,spawn,levelStart,,spawnUnit,22,,1,,,,花园守卫,开局召唤1只食人花,1203,,,,,,
9152,spawn,move,30,spawnUnit,10,,1,selfPos,,,满地滑滑,移动30步留下史莱姆,1203,,,,,,
,,,,,,,,,,,,,,,,,,,
9154,spawn,levelStart,,spawnUnit,1,,2,,,,斧头帮,开局召唤2只斧兵,1203,2,,,,,
9155,spawn,levelStart,,spawnUnit,111,,1,,,,露露,陛下，我来帮您！,1203,3,1,,,,
9156,passive,,,hurtGiveFriend,1,,,,,,替死娃娃,受伤时献祭1个队友，让伤害降为1,1203,2,1,,FALSE,,
9157,passive,,,friendHPmaxAdd,10,,,,,,防守祝福,队友血量+10,1203,,,,FALSE,,
9158,passive,,,friendAtkAdd,3,,,,,,进攻祝福,队友攻击+3,1203,,,,FALSE,,
9159,spawnBomb,friendDead,,,1,,0,,,,自爆小队,队友死亡后留下炸弹,1203,,,,FALSE,,
9160,passive,,,playerCureFriend,1,,,,,,纳米激素,普攻队友使其攻击+1,1203,2,,,FALSE,,
9161,passive,,,friendHitCure,3,,,,,,互帮互助,友军伤害变为+3血量,1203,3,,,FALSE,,
9162,spawn,levelStart,,spawnUnit,113,,1,,,,大大嘴花,开局召唤1只大大嘴花,1203,3,,,,,
9163,buff,activeSkill,,cureBuff,2,randomFriend,1,,,,吃瓜魔王,按道具键为随机队友恢复2血,1203,2,,,FALSE,,
9164,spawn,levelStart,,spawnEnemyCopy,,,1,,,,拟态泥,开局复制1个小怪作为队友,1203,,,,,,
9165,passive,,,friendNumMax,4,,,,,,扩军令,队友上限+4,1203,2,,,FALSE,,
9166,passive,,,friendNumMax,-999,friendHPmaxAdd,30,friendAtkAdd,6,,最强小弟,友军数量上限为1，血量+30，攻击力+6,1203,2,1,,FALSE,,
,,,,,,,,,,,,,,,,,,,
9200,buff,atk,20,burnBuff,,,,,,,炎拳,攻击20次烧伤敌人,1204,,,,,,
9201,passive,,,burnInfectRate,0.5,,,,,,星星之火,燃烧的卡片会引燃附近的卡片,1204,3,,,FALSE,,
9202,spawn,move,30,spawnUnit,222,,1,selfPos,,,烧烧果实,移动30次留下岩浆,1204,,,,,,
9203,buff,levelStart,0,burnBuff,,randomEnemy,3,,,,火热登场,开局点燃3个单位,1204,,,,,,
9204,buff,unitDead,0,burnBuff,,nearBy,1,,,,传播之火,单位死亡时点燃附近敌人,1204,2,1,,,,
9205,passive,,,burnTime,10,,,,,,不灭之火,燃烧持续回合+10,1204,,,,FALSE,,
9206,buff,dodge,,burnBuff,,,,,,,闪避之火,闪避时点燃敌人,1204,,,,,,
9207,passive,,,burnDamage,1,,,AddSkin,5,,我好烧,燃烧伤害+1,1204,2,,,FALSE,,
9208,passive,,,playerBurnAtkAdd,2,,,,,,恶灵骑士,魔王处于燃烧状态时，攻击力+2,1204,2,,,FALSE,,
9209,passive,,,playerRebornInFire,1,,,,,,浴火重生,魔王在燃烧状态时死亡，立即以1血复活,1204,3,1,,FALSE,,
9210,passive,,,burnDamageWhenHpLow,2,,,,,,燃尽了,玩家血量低于15时，燃烧伤害+2,1204,2,,,FALSE,,
9211,buff,move,20,burnBuff,,nearBy,2,,,,老炎腿,边走边燃,1204,3,1,,,,
9212,passive,,,burnNoDmg,1,,,,,,火之心,魔王处于燃烧状态时，不再受到其他伤害,1204,2,1,,FALSE,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9250,buff,atk,20,freezeBuff,,,,,,,冰拳,攻击20次冰冻敌人,,,,,,,FALSE
,,,,,,,,,,,,,,,,,,,
9350,spawn,move,20,spawnShruiken,,,3,,,,手里暗器,移动20次掉落3个手里剑,1205,,,,,,
9351,spawn,levelStart,,spawnShruiken,,,10,,,,有备而来,开局掉落10个手里剑,1205,,,,,,
9352,spawn,dodge,,spawnShruiken,,,4,,,,幻影暗器,闪避后掉落4个手里剑,1205,,,,,,
9353,spawn,unitDead,,spawnShruiken,,,1,,,,血中暗器,单位死亡后掉落手里剑,1205,2,,,,,
9354,spawn,environmentDead,,spawnShruiken,,,1,,,,藏叶于林,环境死亡后掉落手里剑,1205,3,,,,,
9355,passive,,,shurikenNumAdd,1,,,,,,暗器多多,手里剑掉落+1,1205,,,,FALSE,,
,,,,,,,,,,,,,,,,,,,
9357,passive,,,shurikenHelpGet,1,,,,,,铁蒺藜,敌人踩中手里剑会受伤，并且收集,1205,2,1,,FALSE,,
9358,passive,,,shurikenSpawnFreezeRate,0.1,,,,,,冰冻手里剑,手里剑有概率收集时冰冻附近敌人,1205,2,,,FALSE,,
9359,passive,,,shurikenBackRate,0.3,,,,,,无限暗器,丢出的手里剑返还30%,1205,3,,,FALSE,,
9360,passive,,,shurikenGetMore,7,,,,,,屯屯忍者,每积攒20个手里剑，额外积攒7个,1205,2,,,FALSE,,
9361,passive,,,shurikenAtkMore,2,,,,,,众生平等,手里剑攻击将平摊到更远的目标,1205,3,,,FALSE,,
9362,buff,resourceLap,,atkBuff,1,self,,int,,,拾荒之道,拾取任何资源后，伤害+1,1205,3,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9400,spawn,levelStart,0,spawnProp,0,,1,,,,道具背包,开局掉落1个道具,1206,,,,,,
9401,spawn,bossLvStart,0,spawnProp,0,,3,,,,精英背包,BOSS战开始时掉落3个道具,1206,,,,,,
9402,spawn,enemyDead,14,spawnProp,0,,1,,,,搜刮奖励,击杀14个敌人后掉落道具,1206,,,,,,
9403,passive,,,AddPropMaxNum,1,,,,,,背包扩充,道具槽位+1,1206,2,,,,,
9404,passive,,,propNoDead,1,,,,,,神奇背包,使用道具时，25%概率不消耗,1206,3,1,,,,
9405,passive,,,propHandleTwice,1,,,,,,回响形态,道具会多触发1次道具会多触发1次,1206,2,1,,,,
9406,spawn,propUse,6,spawnProp,0,,1,,,,道具套娃,使用6个道具后，获得1个道具,1206,2,,,,,
9407,buff,propUse,,invincibleBuff,6,self,,,,,无敌道具,使用道具后，无敌6回合,1206,2,2,,,,
9408,spawn,propUse,12,spawnUnit,809,,1,,,,宝箱之道,使用12个道具后，获得1个紫宝箱,1206,3,,,,,
9409,spawn,isOnce,,spawnProp,0,,3,,,,道具展览,立刻获得3个道具,1206,,,,,,
9410,spawn,onTreasureOpen,,spawnProp,0,,1,,,,嘎嘎搜刮,开宝箱时，获得1个道具,1206,2,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9450,spawn,move,12,spawnTree,0,,1,selfPos,,,植树王,移动12次后生成树木,1207,,,,,,
9451,spawn,move,20,spawnUnit,812,,1,selfPos,,,森林滚石,移动20步留下1个滚石,1207,,,,,,
9452,spawn,unitDead,,spawnTree,0,,1,targetPos,,,生死轮回,单位死后生成树木,1207,,,,,,
9453,buff,environmentDead,,atkBuff,1,self,,int,,,飞叶快刀,环境被破坏，伤害+1,1207,,,,,,
9454,spawn,activeSkill,,spawnTree,0,,1,targetPos,,,手动植树,按道具键生成树木,1207,2,,,,,
9455,spawn,environmentDead,5,spawnTree,0,,1,targetPos,,,生生不息,破坏5个环境后留下树木,1207,,,,,,
9456,passive,,,playerTreeDamageAdd,1,,,,,,伐木王,对环境造成的伤害+100%,1207,,,,,,
9457,passive,,,spawnTreeAdd,1,,,,,,树木多多,生成树木+1,1207,,,,FALSE,,
9458,passive,,,environCanPush,1,pushDamage,3,,,,万物有灵,环境都可以被推动，推动伤害+3,1207,2,1,,,,
9459,passive,,,environAtkTogether,1,,,,,,驾驭自然,攻击时，相邻的环境会一起攻击,1207,3,1,,,,
9460,passive,,,environAppleAddHPMax,1,,,,,,苹果魔王,满血时吃苹果增加生命上限,1207,2,1,,,,
9461,passive,,,environHurtBack,3,,,,,,荆棘森林,破坏树木的敌人会受到3点伤害,1207,2,,,FALSE,,
9462,spawn,levelStart,,spawnTree,10,,20,selfPos,,,我即森林,开局生成20棵树木,1207,3,,,,,
9463,passive,,,environSaveDead,1,,,,,,环境替死,受伤时，改为随机破坏5棵树,1207,3,1,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9300,buff,turn,50,invincibleBuff,8,self,,,,,魔王屏障,每50回合，无敌8回合,1208,,2,,,,
9301,buff,dodge,0,invincibleBuff,6,self,,,,,无敌闪避,闪避后，无敌6回合,1208,,2,,,,
9302,buff,hurt,0,invincibleBuff,8,self,,,,,复仇屏障,受伤后，无敌8回合,1208,,2,,,,
9303,spawn,levelStart,0,spawnProp,6002,,1,,,,无敌泡泡,开局获得1个无敌泡泡道具,1208,2,,,,,
9304,passive,,,invincibleHurtBack,1,,,,,,全数奉还,无敌时被攻击，伤害返还+100%,1208,,,,FALSE,,
9305,passive,,,invincibleTimeAdd,1,,,,,,延长秘法,无敌回合+1,1208,,,,FALSE,,
9306,passive,,,invincibleAutoParry,1,AddAtk,-1,,,,不动明王,无敌时会自动弹反，攻击力-1,1208,3,1,,FALSE,,
9307,buff,levelStart,,invincibleBuff,20,self,,,,,无敌登场,开局无敌20回合,1208,2,,,,,
9308,passive,,,invincibleHurtCure,1,,,,,,挨打疗法,无敌时被攻击，血量+1,1208,3,,,FALSE,,
9309,passive,,,unInvincibleAtkAdd,-1,invincibleAtkAdd,2,,,,双面魔王,无敌时攻击力+2，不无敌时攻击力-1,1208,2,,,FALSE,,
9310,buff,playerReborn,,invincibleBuff,40,self,,,,,杀出冥界,死里逃生后，无敌40回合,1208,,,,,,
9311,passive,,,parryDmgAddWhenInvincible,5,,,,,,金色骨盾,无敌时，弹反造成伤害+5,1208,,,,FALSE,,
9312,buff,getInvincible,,freezeBuff,,nearBy,1,,,,无敌冰骨,进入无敌时，冰冻周围单位,1208,,1,,FALSE,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9551,spawn,levelStart,,spawnUnit,831,,2,,,,开局炮台,开局召唤2个史莱姆炮台,1210,,,,,,
9552,spawn,atk,15,spawnUnit,831,,1,,,,进攻炮台,攻击15次后召唤1个史莱姆炮台,1210,,,,,,
9553,spawn,move,25,spawnUnit,831,,1,,,,疾走炮台,移动25步召唤1个史莱姆炮台,1210,,,,,,
9554,spawn,levelStart,,spawnProp,6019,,1,,,,便携炮台,开局获得1个便携炮台道具,1210,,,,,,
9555,spawn,activeSkill,10,spawnUnit,831,,1,,,,呼叫空投,按10次道具键召唤1个史莱姆炮台,1210,3,,,,,
9556,spawn,turn,100,spawnUnit,831,,5,,,,炮兵队,每100回合召唤5个史莱姆炮台,1210,2,,,,,
9557,passive,,,cannonAtkDis,1,,,,,,远射炮台,炮台索敌范围+1,1210,,,,FALSE,,
9558,passive,,,cannonShootNum,1,,,,,,多发弹匣,炮台发射子弹数量+1,1210,,,,FALSE,,
9559,passive,,,cannonDullTime,-1,,,,,,滑滑冷却,炮台冷却所需回合数-1,1210,,,,FALSE,,
9560,passive,,,cannonAtkDis,2,cannonShootNum,1,cannonHpMax,-20,,玻璃大炮,炮台索敌范围+2，子弹数量+1，血量-20,1210,2,,,FALSE,,
9561,passive,,,cannonBulletScale,1,,,,,,大大子弹,史莱姆子弹大小+1,1210,3,,,FALSE,,
9562,passive,,,cannonReborn,1,,,,,,复生炮台,炮台死亡后50%概率复活,1210,2,1,,FALSE,,
9563,passive,,,cannonAutoCure,1,,,,,,自我愈合,炮台每回合自动回复1血,1210,2,,,FALSE,,
9564,passive,,,cannonHitAtk,1,,,,,,手动档,玩家攻击炮台时，立刻发射子弹,1210,3,1,,FALSE,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9999,passive,,,AddAtk,1,,,,,,愤怒之力,攻击力+1（你懂这个含金量吗？）,1299,3,,,,,
9998,passive,,,playerSkillCoolDown,1,,,,,,魔王冷却,所有能力冷却-1,1299,3,,,,,
9997,passive,,,AddHpMax_ONCE,10,,,,,,魔王心,血量上限+10,1299,3,,,,,FALSE
9996,spawn,isOnce,,spawnUnit,810,,1,randomBomb,,,赌一把,50%获得金宝箱，50%获得炸弹,1299,,,,,,
9995,spawn,isOnce,,spawnProp,6004,,1,,,,一袋苹果,获得1袋苹果,1299,,,,,,FALSE
9994,spawn,move,25,spawnUnit,901,,1,selfPos,,,刺刺乐,移动25步留下陷阱,1299,2,,,,,FALSE
9993,passive,,,,,,,,,,魔王之魂碎片,被魔神深深的诅咒着，散播不详的气息,1299,3,,,,,FALSE
9992,passive,,,showEnemyHp,1,AddHpMax_ONCE,3,AddSkin,3,,魔王墨镜,可以随时看见敌人的血量，血量上限+3,1299,,1,,,,
9991,passive,,,PlayerCanFly,1,,,AddSkin,1,,小鸟魔王,飞吧，魔王,1299,3,1,,,,
9990,passive,,,ChangePlayerSight,3,AddHpMax_ONCE,3,,,,核能手电,视野+3，血量上限+3,1299,,,,,,
9989,passive,isOnce,,GoldApple,99,,,,,,金苹果,超级稀有的苹果！！血量+99,1299,3,,,,,
9988,passive,,,AddMoneyRandom_ONCE,7,,,,,,金币袋,金币+7~14,1299,,,,,,
9987,passive,,,nextChapterHaveMofei_ONCE,1,,,,,,墨菲之眼,下一章必定出现铁匠房间,1299,2,1,,,,
9986,other,isOnce,,addKey,1,,,,,,钥匙,1个钥匙,1299,,,,,FALSE,FALSE
9985,spawn,levelStart,0,spawnUnit,802,,2,,,,推推乐,开局召唤2个箱子,1299,2,,,,,FALSE
9984,passive,,,ChangePlayerSight,-5,AddAtk,2,AddSkin,2,,铁桶魔王,视野-5，攻击力+2,1299,3,1,,,,
9983,passive,,,playerHpMaxAtkAdd,1,,,,,,我赢了,满血时，攻击力+1,1299,2,,,,,FALSE
9982,passive,,,playerHPLowAtkAdd,2,,,,,,我急了,1血时，攻击力+2,1299,2,,,,,FALSE
9981,,,,,,,,,,,金骷髅,金骷髅的icon,,,,,,FALSE,FALSE
9980,passive,,,playerDefendFromLeft,0.5,,,,,,左手盾,对来自左侧的攻击减伤50%,1299,2,1,,,,
9979,passive,,,playerAtkAddOnRight,1,,,,,,右手剑,向右攻击时，攻击力+1,1299,2,,,,,
9978,spawn,isOnce,,spawnUnit,809,,1,,,,紫宝箱,获得1个紫宝箱,1299,,,,,,
9977,spawn,isOnce,,spawnUnit,810,,1,,,,金宝箱,获得1个金宝箱,1299,2,,,,,
9976,spawn,isOnce,,spawnUnit,811,,1,,,,红宝箱,获得1个红宝箱,1299,3,,,,,
9975,passive,,,ChangeGameSpeed,0.2,,,,,,小急,开启1.2倍速,1299,2,,,,,FALSE
9974,passive,,,ChangeGameSpeed,1,,,,,,急急急急,开启2倍速,1299,2,,,,,FALSE
9973,passive,,,ChangeDefence,0.5,AddAtk,-1,AddSkin,4,,龟壳魔王,受到的伤害减半，攻击力-1,1299,3,1,,,,
9972,passive,,,killAllEnvironment,1,,,,,,天使斗篷,一击必杀所有环境,1299,3,1,,,,
9971,passive,,,AddSaveDead_ONCE,9,AddHpMax_ONCE,-9999,,,,猫神祝福,最大血量降为1，但是复活次数+9,1299,3,,,,,FALSE
9970,passive,,,AddSaveDead_ONCE,1,,,,,,复活币,复活次数+1,1299,3,,,,,
9969,spawn,levelStart,,spawnUnit,30,,1,,,,愤怒的小鸡,开局召唤愤怒的小鸡,1299,3,,,,,FALSE
9968,passive,,,playerCameraSight,0.7,AddHpMax_ONCE,3,AddSkin,6,,大眼魔王,可以看的更远，最大血量+3,1299,,,,,,
9967,passive,,,cantParryOrDodge,1,playerDefendInt,1,,,,大理石甲,无法再闪避弹反，受到伤害-1,1299,2,,,,,
9966,spawn,activeSkill,,spawnDemonFire,,,1,needSoul,1,,灵魂之火,按道具键消耗1灵魂召唤魔神剑气,1299,2,,,,,
9965,spawn,levelStart,,spawnUnit,237,,1,,,,硬币之力,开局召唤1个电磁炮硬币,1299,2,,,,,FALSE
9964,spawn,isOnce,,spawnPropBox,,,,,,,道具袋,打开1个道具袋,1299,,,,,,
9963,passive,playerReborn,,AddHpMax,10,,,,,,勇气三角,死里逃生后，血量上限+10,1299,2,,,,,
9962,other,activeSkill,,flash,2,,,,,,恶魔斗篷,按道具键闪现,1299,3,1,,,,
9961,passive,,,everyLvDefenceTime,1,,,,,,魔王十字,每次战斗免伤1次,1299,3,1,,,,
9960,passive,,,cantGetMoney,1,AddAtk,2,,,,灵体魔王,攻击+2，不能再获得任何金币,1299,3,1,,,,
9959,passive,,,cantCure,1,AddAtk,2,,,,绽放魔王,攻击+2，之后将无法再回血,1299,3,1,,,,
9958,passive,,,ChangeDefence,2,AddAtk,2,,,,红眼魔王,攻击力+2，受到的伤害翻倍,1299,3,,,,,
9957,passive,,,shurikenGetDis,1,,,,,,万磁王,所有资源吸附距离+1,1299,,,,,,
9956,passive,,,AddMoneyNum_ONCE,30,,,,,,超多金币,金币+30,1299,3,,,,,FALSE
9955,passive,,,AddMoneyNum_ONCE,10,,,,,,大量金币,金币+10,1299,2,,,,,FALSE
9954,passive,,,AddMoneyNum_ONCE,1,,,,,,小金币,金币+1,1299,1,,,,FALSE,FALSE
9953,passive,,,birdGetMoney,1,,,,,,黄金鸟,小鸟起飞留下金币,1299,2,,,,,
9952,passive,,,abilityNumMore,1,,,,,,选择困难症,能力选项+1,1299,2,1,,,,
9951,passive,,,,,,,,,,传奇龙蛋,获得1个特殊的传奇龙蛋,1299,3,1,,,,FALSE
9950,passive,,,AddHP_ONCE,-20,addHpMaxByLevel,1,,,,天选芝士,失去20血量，之后每场战斗血量上限+1,1299,3,,,,,FALSE
9949,passive,,,luluAutoSuper,2,,,,,,露露按摩仪,露露代打时，攻击力+2，减伤50%,1299,3,1,,,,FALSE
,,,as,,,,,,,,,,,,,,,,
8000,passive,,,AddHpMax_ONCE,3,,,,,,抱抱魔王,QAQ您没有武器，那就抱一下吧,1399,3,,,,,
,,,,,,,,,,,,,,,,,,,
8002,passive,,,rateAtkUp,1,,,,,,简单锻造,攻击有50%概率伤害+1,1300,3,,TRUE,,,
,,,,,,,,,,,,,,,,,,,
8010,passive,,,weaponStrikeDis,99,,,,,,超远突刺,突刺距离+99,1301,3,1,,,,
8011,passive,,,weaponStrikeStartDis,1,,,,,,隔空突刺,间隔1格也能突刺敌人,1301,3,,,,,
8012,buff,unitDead,,atkBuff,2,self,,,,,连杀奖励,单位死亡后，下次普攻+200%伤害,1301,3,,TRUE,,,
8013,spawnLightning,atk,,,1,,,,,,闪电枪,普攻召唤1道闪电,1301,3,,TRUE,,,
8014,passive,,,strikeDisAddDmg,1,,,,,,枪出游龙,突刺距离越远，伤害越高,1301,3,,,,,
8015,passive,,,strikeRepeatAddDmg,1,,,,,,猎杀时间,反复突刺时，伤害递增,1301,3,,,,,
,,,,,,,,,,,,,,,,,,,
8020,passive,,,playerAtkDisAdd,1,,,,,,远焦眼球,激光射程+1,1302,3,,,,,
8021,passive,,,lasyerDisAdd,2,,,,,,狙击炮,激光长度+2（不影响索敌）,1302,3,,,,,
8022,passive,,,lasyerBack,1,,,,,,背后有眼,向背后发射光束,1302,3,1,,,,
8023,passive,,,farDisAtkUp,3,,,,,,压力炮,对距离2以外的敌人造成高额伤害,1302,3,,,,,
8024,passive,,,lasyerThree,1,,,,,,激光列阵,额外发射+2列光束，伤害略低,1302,3,,,,,
8025,passive,,,lasyerBackDis,1,lasyerBackDamage,10,lasyerBackAtk,1,,致命反冲,后坐力距离+1，后坐力伤害+10,1302,3,,,,,
,,,,,,,,,,,,,,,,,,,
8030,passive,,,playerOtherAtkMore,1,,,,,,音速拳,连击+1（伤害可能降低一点点，别怕）,1303,3,,,,,
8031,buff,atk,20,atkBuff,10,self,,,,,核爆拳,第20下攻击造成1000%伤害,1303,3,,TRUE,,,
8032,selfUnit,atk,20,atkMore,7,,,,,,欧拉欧拉,第20下攻击连击7次,1303,3,,,,,
8033,passive,,,playerAtkOverPush,1,,,,,,击退拳,普攻最后一击击退敌人,1303,3,1,,,,
8034,passive,,,playerAtkAddRange,1,,,,,,波动拳,伤害看脸,1303,3,,,,,
,,,,,,,,,,,,,,,,,,,
8040,passive,,,weaponChargingNum,99,,,,,,无限蓄力,按住初始方向可以无限蓄力,1304,3,1,,,,
8041,passive,,,chargingDefense,1,,,,,,石中之剑,蓄力时，减免70%伤害,1304,3,1,,,,
8042,spawnBomb,chargeAtk,,,1,,5,,,,轰翻天,蓄力攻击向远处投掷炸弹,1304,3,,,,,
8043,passive,,,weaponChargingNum,-99,AddAtk,-1,,,,无需蓄力,开始快乐，我的朋友,1304,3,1,,,,
8044,passive,,,rotateAtkDis,1,mustChargeNum,3,,,,超级大剑,蓄力回合+3，范围+1,1304,3,,,,,
8045,passive,,,swordAtkLatticeNum,99,,,,,,屠龙大剑,攻击大体型卡片，对多格都造成伤害,1304,3,1,TRUE,,,
,,,,,,,,,,,,,,,,,,,
8050,passive,,,arrowNum,20,,,,,,重型弹匣,弹匣+20发,1305,3,,,,,
8051,passive,,,arrowShootSlant,1,reloadingNum,3,,,,散射连弩,同时斜向射击，装弹时间+3,1305,3,1,,,,
8052,passive,,,arrowShootNum,1,reloadingNum,3,,,,连发压制,同时射出子弹+1，装弹时间+3,1305,3,,,,,
8053,passive,,,moveStep,1,,,,,,高速移动,每回合可以移动步数+1,1305,3,,TRUE,,,
8054,passive,,,arrowThroughNum,3,,,,,,贯穿子弹,连弩子弹贯穿+3,1305,3,,,,,
